Word,Grade,Filename,Text,num_sent,Arabic_Filename
الكيلو,EE,Science_G3_2.txt,يستخدم الميزان ذو الكفتين لقياس الكتلة. ولمعرفة كتلة شيء ما، يتم مقارنته بكتلة معيارية معروفة. وحدة قياس الكتلة هي الجرام أو الكيلوغرام. أحاول قياس كتلة علبة ألوان.,4,العلوم
العلاقات,EE,Artistic_Education_G3_3.txt,تعتبر مجموعة ألوان الطلاءات الحديثة التي تتجاوز الآلاف شائعة بين شركات الدهانات. تترك هذه الألوان تأثيرا قويا على سلوكنا وحالتنا النفسية. ولذلك، يعتمد اختيار الألوان على مدى شعورنا بالراحة معها. على سبيل المثال، يعتبر اللون الأزرق لونا باردا هادئا يعزز التفاؤل. أصبح الإنسان مهتما بالألوان وبدأ في دراستها، وفهم العلاقات بينها واختلاف اختياراتها. كذلك، تم اعتماد دراسة الألوان في تصميم وتنظيم المكان.,6,الفنون
البالونات,EE,Science_G2_2.txt,ما هي الأدوات التي يمكن استخدامها لقياس المادة؟ قارن خصائص المادتين الصلبتين التاليتين. ما نوع المادة التي تملأ هذه البالونات؟ ما هو نوع المادة؟ قدم بعض الحقائق عن المادة. كيف يمكن التمييز بين الأنواع المختلفة للمادة؟ أذكر أسماء أنواع المادة الثلاثة. ارسم شكلا يمثل كل نوع من المادة مقابل اسم المادة على الورقة.,4,العلوم
التوافق,EE,Artistic_Education_G3_3.txt,تصحيح النص تقارب الألوان يتمثل في تواجد الألوان المتجاورة في الدائرة اللونية. التباين، هو عبارة عن الاختلاف في الألوان حينما تتقارب، وزيادة التباين يزيد من فارق الألوان. قد يتمثل التباين في تجاور الأبيض بالأسود، والألوان الداكنة بالفاتحة من نفس اللون، والألوان المتعارضة في الدائرة اللونية. اختيار من الألوان المتاحة لتحقيق التوافق اللوني في التصميم. رب العالمين، والصلاة والسلام على أشرف المرسلين، وعلى آله وصحبه أجمعين، وبعد.,5,الفنون
القابلة,EE,Life&Family_Skills_G1.txt,حرصنا في تأليف هذا الكتاب على تنويع أساليب عرضه باستخدام مصادر التعلم المختلفة من رسوم وصور وأنشطة، لإثارة التفكير وإكساب الطالب مهارات القرن الحادي والعشرين في إطار أهداف الوحدات. وتتيح أنشطة التعلم المتضمنة في هذا الكتاب الفرصة للمتعلم كي يفكر ويحاور ويعبر عن رأيه، ليكتسب المهارات والكفايات القابلة للتطبيق في حياته اليومية.,2,المهارات الحياتية
الحيوانات,EE,ArabicLanguage_G1.txt,تملأ الفراغات بالمقاطع المناسبة كان في الغابة قنفذ صغير لا تلعب معه الحيوانات، ولا تريد القرب منه خوفا من الشوك الذي على ظهره. في أحد الأيام اقترب من القط، لكنه فر أمامه، ثم ذهب إلى القرد وقفز إلى شجرة. شعر القنفذ بالحزن فجلس بعيدا ورصد الحيوانات وهي تمرح سويا، وفجأة شاهد صيادا يستهدف الأرنب ببندقيته. ساق القنفذ جسمه على شكل كرة شوكية، وتدحرج نحو الصياد الذي فزع وفر. بهذا أنقذ الأرنب. اقترب الأرنب والحيوانات من القنفذ وشكروه، ووافقوا على اللعب معه، فأصبحوا أصدقاء.,6,اللغة العربية
الطاووس,EE,Artistic_Education_G3.txt,تظهر ريش الطاووس في تكرار جميل الشكل كما تظهر الزخارف على أجنحة الفراشات في تنوع بديع الشكل، بينما تقوم النحلة ببناء خلاياها بتكرار جميل ومنظم، بأشكال هندسية متقنة. فسبحان الخالق، الذي ألهمها عمل ذلك الجمال. تأتي وحدات خلايا النحل بأشكال متناسقة لعمل تكوينات مطبوعة نزين بها أشياء نايبة. نستخدم الوحدة والتكرار بأساليب مختلفة.,4,الفنون
السروات,EE,Science_G3_3.txt,ضع الجزء السفلي من الغلاف البلاستيكي في ماء دافئ لبضع دقائق وانتظر حتى يجف. يمكنك أن تسأل نفسك لماذا يجب فعل ذلك؟ ومن أين جاءت فكرة هذه التجربة؟ استنتج من الظروف الجوية المحيطة كيف شكلت قطرات الماء في الأمس. هل تعتقد أنه سيحدث إذا استخدمنا ماء باردا بدلا من الماء الدافئ؟ ترى أن جبال السروات تكون حاجزا يمنع بخار الماء من الوصول إلى الجانب الآخر من الجبل.,3,العلوم
العبادة,EE,Islamic_Studies_G2_3.txt,حافظوا على توحيد الله في العبادة والدعاء والركوع والسجود، فإن الله أعظم من أي شيء آخر. يجب أيضا تطبيق النقاط الكتابية في سعيكم نحو تحقيق الأهداف المرسومة. نرجو منكم دعم هذا المبدأ من خلال متابعة تقدم الطلاب في كتابة النصوص والكلمات في هذا الكتاب. يمكنكم اختيار ثلاثة نصوص لتعبير عنها في نهاية كل وحدة، تتضمن الآيات القرآنية أو الأحاديث الشريفة أو النصوص التعبيرية. بعد ذلك، يطلب من الطلاب كتابة هذه النصوص في ورقة مستقلة ليتم تصحيحها والعمل على تصويب الأخطاء.,5,الدراسات الإسلامية
الصوتية,EE,ArabicLanguage_G2_2.txt,يدرب الطالب على الظواهر الصوتية بألا يخاف من الطيران في الجو. يجب محو الكلمات التي تحتوي على حروف تنطق ولا تكتب، كمثال المعلم الله، الحداد، المهندس الطيار. الوطن يحتاج إلى المعلم والطبيب، والمهندس، والطيار، ورجل الإطفاء، والحداد، والنجار، والفلاح، وهؤلاء جميعا يساهمون في بناء الوطن وتقدمه.,3,اللغة العربية
